user,is_anonymous,num_edits,added_words,deleted_words,changed_words,reverts_done,num_added_on_users,num_deleted_from_users,num_edited_after_users,num_reverted_users,num_reverted_by_users,vandal_label,deletion_ratio,aggression_ratio,community_rejection,revert_ratio
Gautamh,0,1,16,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Philandross,0,1,0,554,0,0,0,1,0,0,0,0,0.9981981981981982,0.5,0.0,0.0
Jrn0074,0,1,0,2,0,0,0,1,0,0,0,0,0.6666666666666666,0.5,0.0,0.0
Raghualluri,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
64.134.153.226,1,1,10,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
212.44.18.36,1,1,1,0,0,0,1,0,0,0,3,1,0.0,0.0,1.5,0.0
Welsh,0,4,0,3,0,0,0,2,0,0,0,0,0.75,0.4,0.0,0.0
DeadlyAssassin,0,2,0,0,0,4,0,0,0,5,1,0,0.0,0.0,1.0,1.3333333333333333
12.239.145.114,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Vinithehat,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.5
Marutimon,0,1,28,2,2,1,1,0,1,1,1,0,0.06060606060606061,0.0,0.3333333333333333,0.5
Kbrose,0,2,16,154,9,4,0,5,3,3,1,0,0.8555555555555555,1.6666666666666667,0.1111111111111111,1.3333333333333333
72.80.239.207,1,1,1,0,0,0,1,0,0,0,4,1,0.0,0.0,2.0,0.0
Spritenbower,0,1,2,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
121.45.108.73,1,1,4,0,0,0,2,0,0,0,3,1,0.0,0.0,1.0,0.0
94.172.0.251,1,1,2,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
TaylorSwift3994,0,1,45,2,2,0,2,0,1,0,3,0,0.04,0.0,0.75,0.0
58.2.236.197,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
ACJobim,0,1,23,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
132.3.21.68,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nomad~enwiki,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
108.65.136.97,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
